              [,1]         [,2]         [,3]         [,4]         [,5]
 [1,]  0.007065680 -0.002496636 -2.66172e-04  1.29672e-03 -0.000990790
 [2,] -0.002496636  0.003906980  1.77832e-04 -3.76497e-03  0.001757488
 [3,] -0.000266172  0.000177832  5.80545e-03 -1.10171e-03  0.003387272
 [4,]  0.001296718 -0.003764972 -1.10171e-03  1.21617e-02 -0.002401664
 [5,] -0.000990790  0.001757488  3.38727e-03 -2.40166e-03  0.042531881
 [6,] -0.002288261  0.001489983  3.52164e-03 -2.43642e-03  0.010047147
 [7,] -0.000416603  0.000647097 -1.33916e-03 -4.89696e-03 -0.001313042
 [8,]  0.003193978 -0.001377137 -3.86001e-03 -1.25423e-05 -0.008733646
 [9,] -0.005761686  0.003031876  4.38831e-03 -8.17934e-03 -0.000411216
[10,] -0.001822835  0.002268637 -7.22169e-05 -4.03591e-03 -0.003289845
[11,]  0.001255845 -0.001192289 -1.98762e-03  3.20080e-03 -0.007961482
[12,]  0.003312815 -0.001646402 -1.21269e-04  1.08702e-03  0.002420068
[13,] -0.003610362  0.003533488  3.69023e-03 -6.93794e-03  0.022228152
[14,]  0.002281346 -0.006007005 -4.61052e-03  1.12114e-02 -0.029177359
[15,] -0.003539706  0.003514695  3.12465e-03 -5.99200e-03  0.008217916
[16,]  0.002307455 -0.004065517 -1.13322e-02  1.08348e-02 -0.022990806
[17,] -0.001965391  0.000404731 -1.65637e-03 -2.34695e-03 -0.002942918
[18,]  0.004280168 -0.004571497 -3.53914e-03  8.48631e-03 -0.013053494
[19,] -0.001736479  0.000873575  2.83077e-03 -3.23951e-03  0.005402497
[20,] -0.000814703  0.001918870 -1.48304e-03 -6.04451e-03 -0.003403285
[21,]  0.003010793 -0.003056938 -1.35069e-03  5.80358e-03 -0.004070708
[22,] -0.005013161  0.001900222 -9.10066e-04  4.50387e-03  0.016632921
[23,]  0.000631105 -0.002290527 -3.51967e-03  1.75582e-03 -0.014532713
[24,] -0.002218825  0.003585944  2.95868e-03 -6.25720e-03  0.006715382
[25,] -0.000371880  0.002487541  6.19701e-03 -8.33262e-03  0.020614873
[26,]  0.000369270  0.005549443  3.19457e-03 -9.45229e-03  0.011908498
[27,] -0.001750069  0.003618662 -9.38519e-04 -1.04247e-02 -0.003856395
[28,]  0.004422998 -0.001933514 -2.67920e-03  2.20003e-03 -0.016049796
[29,] -0.001556813  0.000713718 -1.63670e-03  2.11929e-03 -0.006589448
[30,] -0.001821192  0.001038538 -9.77699e-04 -3.03075e-03 -0.006765111
